序号,文件路径,类型标签,主题标签,章节结构,内容概要,格式特征
11,网络运维\故障处理\Framework告警\ALM-100003 内存过载告警_70996395.md,告警文档,内存过载告警,"1. 告警名称 2. 告警解释 3. 告警属性 4. 告警参数 5. 对系统的影响 6. 可能原因 7. 处理步骤","ALM-100003内存过载告警的详细处理指南","八段式结构"
12,特性部署\业务专题\5G Core 国际漫游解决方案\5GC国际漫游解决方案概述_11244470.md,解决方案概述,国际漫游,"1. What国际漫游 2. Why国际漫游 3. How国际漫游 4. 结语","5G国际漫游解决方案概述，包括HR和LBO两种架构对比、SEPP安全代理引入","What/Why/How结构、架构对比表格、组网图"
13,特性部署\业务专题\5G Core 体验感知解决方案\方案介绍_72546024.md,解决方案概述,体验感知,"1. 方案概述 2. 保障用户体验感知信息采集 3. 重点用户体验感知信息采集 4. 普通用户体验感知信息采集","体验感知解决方案介绍，三类用户(保障用户/重点用户/普通用户)的体验信息采集流程","方案概述、流程图、场景对比表格"
14,特性部署\业务专题\5G Core FUP解决方案\业务级累计流量策略控制\原理描述_24087908.md,特性原理,FUP策略控制,"1. 业务级累计流量策略控制原理 2. 基于N7接口策略控制 3. 基于Gx接口策略控制 4. 关键参数 5. 系统影响与约束","FUP(Fair Usage Policy)业务级累计流量策略控制原理说明","原理描述、参数表格、约束说明"
15,网络部署\初始配置\UDG初始配置与调测\了解组网架构\熟悉网络架构_75096814.md,部署指南,网络架构,"1. 5G网络架构 2. 2/3/4/5G互操作网络架构","5G网络架构介绍，包括服务化结构和参考点结构、融合部署架构","架构图、接口说明、组网图"
16,网络部署\初始配置\UDG初始配置与调测\License申请与加载\上传并激活License文件 (OM Portal)_49599170.md,部署指南,License加载,"1. License加载概述 2. 上传License文件 3. 激活License","License文件上传和激活的完整操作流程","步骤式操作指南、注意事项"
17,网络部署\初始配置\UDG初始配置与调测\基础数据配置\公共参数配置_97905321.md,部署指南,基础配置,"1. 公共参数配置 2. 系统参数 3. 网元参数","公共参数配置方法，包括系统级和网元级参数设置","参数配置表格、配置示例"
18,网络部署\安全配置\UDG安全配置\安全配置建议\可选配置\业务安全配置\激活SBI接口加密(PSK)_63992777.md,安全配置,SBI加密,"1. 功能说明 2. 配置思路 3. 配置步骤 4. 验证方法","激活SBI接口PSK加密的配置方法","配置步骤、验证命令、注意事项"
19,网络部署\初始配置\UDG初始配置与调测\组网对接配置\配置会话接入数据_68634166.md,部署指南,会话接入配置,"1. 会话接入数据配置概述 2. 配置参数说明 3. 配置步骤","会话接入数据配置方法和参数说明","配置参数表、配置流程"
20,特性部署\业务专题\5G Core 国际漫游解决方案\功能部署\业务部署\运营商A（大型运营商）配置\现网NF配置\AMF\配置支持SA国际漫游接入_11084518.md,功能部署,国际漫游配置,"1. 配置场景 2. 配置步骤 3. 配置示例","AMF配置支持SA国际漫游接入的详细配置步骤","配置命令、参数说明、配置示例"
21,网络运维\日常维护\例行维护\例行维护检查_80000001.md,运维手册,例行维护,"1. 例行维护概述 2. 日维护检查 3. 周维护检查 4. 月维护检查","日常维护检查项目清单，包括系统状态检查、日志检查等","检查清单、周期说明、注意事项"
22,网络运维\性能管理\性能指标\性能指标说明_80000101.md,运维手册,性能指标,"1. 性能指标概述 2. 关键性能指标 3. 指标阈值","核心网关键性能指标说明，包括KPI定义和阈值","指标表格、阈值说明"
23,OM参考\命令\5G Core功能管理\AMF管理\CLI命令参考\AMF全局配置命令\section_80001001.md,命令参考,AMF配置命令,"1. 命令功能 2. 命令格式 3. 参数说明 4. 视图 5. 使用指南 6. 使用实例","AMF全局配置命令详细说明","六段式结构"
24,快速入门\5G Core解决方案介绍\术语\U\UDM_41972801.md,术语定义,UDM,"1. 术语名称 2. 缩略语 3. 定义说明","UDM(统一数据管理)术语定义","属性表格式"
25,特性部署\业务专题\5G Core IPv6组网解决方案\IPv6基础知识\IPv6地址_09260174.md,技术概念,IPv6地址,"1. IPv6地址格式 2. IPv6地址类型 3. IPv6地址配置","IPv6地址基础知识介绍","概念解释、地址类型表格、配置说明"
